timestamp_stop,lane_id,points,theta_0,theta_1,theta_2,theta_3
1532402927616,2,[970 -1 -1 -1 961 -1 -1 -1 -1 -1 950 -1 -1 -1 940 -1 -1 932 -1 -1 928 -1 923 -1 920 910 837 753 -1 -1],0.76597,-0.19012,0.0025,-1e-05
1532402927616,3,[973 -1 -1 -1 -1 -1 -1 -1 -1 952 -1 -1 -1 -1 -1 -1 -1 -1 -1 929 -1 -1 -1 922 -1 917 916 914 -1 -1],-0.12291,-0.08043,-5e-05,0.0
1532402927616,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1600 -1 -1 -1 -1 1417 -1 -1 1309 -1 -1 1202 -1 -1 1099 -1 -1 -1 979 -1],-3.98082,-0.10459,-0.00033,-0.0
1532402927616,5,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1605 1550 1487 1416 1345 1302 1236 -1 -1 -1 -1],-9.22215,0.04578,-0.00713,7e-05
1532402927620,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -18 29 78 126 177 228 275 328 381 446 505 546 593 652 669 612 448 -1 -1],7.59101,-0.20563,0.0038,-1e-05
1532402927620,2,[1061 -1 -1 1048 -1 -1 -1 -1 -1 1019 -1 -1 -1 -1 991 -1 -1 978 -1 -1 -1 959 -1 949 922 864 793 670 -1 -1],0.43038,-0.21777,0.00371,-1e-05
1532402927620,3,[1061 -1 -1 -1 -1 -1 -1 -1 -1 -1 1011 -1 -1 -1 -1 -1 -1 -1 -1 968 -1 -1 954 -1 944 939 931 -1 -1 -1],-0.40647,-0.09094,-0.00014,0.0
1532402927620,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1603 -1 1540 -1 -1 -1 -1 1343 -1 -1 -1 1196 -1 -1 1077 -1 1009 -1 -1],-3.9468,-0.14473,0.0004,-0.0
1532402927620,5,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1607 1572 1504 1441 1379 1322 -1 1166 -1 -1 -1],-6.1257,-0.24037,1e-05,1e-05
1532402927624,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -9 37 78 136 197 254 309 364 427 466 515 564 621 657 660 602 474 -1 -1],7.87202,-0.25856,0.00508,-1e-05
1532402927624,2,[1148 -1 -1 -1 -1 1116 -1 -1 -1 -1 -1 1068 -1 -1 -1 -1 -1 -1 -1 -1 1000 -1 -1 975 924 861 782 664 -1 -1],0.11367,-0.23968,0.00443,-1e-05
1532402927624,3,[1148 -1 -1 1132 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1036 -1 -1 -1 -1 -1 993 -1 -1 967 -1 954 -1 -1 -1],-0.63565,-0.11413,0.00037,-0.0
1532402927624,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1588 1554 -1 1474 -1 -1 -1 1319 -1 -1 -1 -1 1112 -1 -1 1005 -1],-4.03624,-0.17597,0.0004,0.0
1532402927624,5,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1627 1577 1516 1428 1359 -1 1193 -1 -1 -1],-4.07213,-0.52116,0.00738,-5e-05
1532402927628,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -12 39 91 136 188 243 288 336 374 415 454 506 568 608 641 643 580 448 -1 -1 -1],6.95133,-0.25414,0.00516,1e-05
1532402927628,2,[1247 -1 -1 -1 -1 1197 -1 -1 -1 -1 -1 1130 -1 -1 -1 1091 -1 -1 -1 1044 -1 1016 972 916 867 792 670 -1 -1 -1],-0.0852,-0.29089,0.00761,-3e-05
1532402927628,3,[1246 -1 -1 -1 1210 -1 -1 -1 -1 -1 -1 -1 1120 -1 -1 -1 -1 -1 1052 -1 -1 -1 -1 998 -1 980 972 -1 -1 -1],-1.10952,-0.10167,-0.00023,0.0
1532402927628,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1598 -1 1514 -1 -1 -1 -1 -1 -1 -1 1164 -1 -1 1046 -1 -1],-4.36893,-0.1854,0.00093,-0.0
1532402927628,5,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1584 1505 1430 -1 -1 -1 -1 -1 -1],-9.53866,-0.12339,-0.00046,-2e-05
1532402927632,1,[-1 -1 -1 -1 -1 -1 -1 -29 3 43 81 121 163 209 244 281 321 376 435 491 543 583 607 625 593 546 387 -1 -1 -1],6.69714,-0.27076,0.00658,0.0
1532402927632,2,[1370 -1 -1 -1 -1 -1 1292 -1 -1 -1 -1 -1 1200 -1 -1 -1 1140 -1 -1 1093 1047 1010 952 898 854 793 656 -1 -1 -1],-1.39017,-0.19475,0.00556,-2e-05
1532402927632,3,[1371 -1 -1 -1 1319 -1 -1 -1 -1 -1 -1 -1 -1 1188 -1 -1 -1 -1 1107 -1 -1 1062 -1 1034 -1 -1 998 -1 -1 -1],-1.49086,-0.12282,0.00011,-0.0
1532402927632,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1596 -1 -1 1489 -1 -1 -1 1293 -1 -1 1168 -1 1073 -1 -1],-4.87893,-0.16619,-0.00039,0.0
1532402927632,5,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1606 1541 -1 -1 -1 1309 1202 -1 -1],-7.64347,-0.2135,-0.00162,1e-05
1532402927635,1,[-1 -1 -1 -1 -1 -1 -18 19 65 114 162 209 255 304 357 403 451 487 522 556 587 602 600 563 506 404 -1 -1 -1 -1],7.95924,-0.58309,0.0194,-0.0001
1532402927635,2,[1482 -1 -1 -1 -1 -1 -1 -1 -1 1325 -1 -1 -1 1247 -1 1202 1168 1127 1094 1051 1006 958 916 875 804 732 -1 -1 -1 -1],-1.69123,-0.25407,0.01133,-9e-05
1532402927635,3,[1482 -1 -1 -1 -1 -1 -1 1364 -1 -1 -1 -1 -1 -1 1230 -1 -1 1170 -1 -1 1118 -1 -1 -1 -1 1036 -1 -1 -1 -1],-1.86598,-0.13548,0.0004,-1e-05
1532402927635,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1586 -1 -1 -1 -1 -1 -1 1230 -1 -1 -1 -1 -1],-6.29637,-0.10541,-0.00106,-1e-05
