timestamp_stop,lane_id,points,theta_0,theta_1,theta_2,theta_3
1532402927620,3,[-1 -1 -36 -1 -1 -1 -1 -1 167 -1 244 -1 314 -1 -1 -1 -1 -1 -1 -1 603 -1 -1 -1 -1 798 -1 -1 -1 -1],3.86198,-0.0347,-0.0016,2e-05
1532402927620,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -17 48 110 199 273 351 419 491 566 636 696 774 -1 -1 -1],8.72584,-0.16412,0.00238,-2e-05
1532402927624,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1602 -1 -1 -1 -1 -1 -1 -1 -1 -1 1114 -1 994 936 946 -1 -1 -1],-4.64344,-0.18859,0.00757,-8e-05
1532402927624,2,[716 -1 -1 -1 -1 744 -1 -1 -1 -1 -1 -1 789 -1 -1 -1 -1 -1 -1 835 -1 -1 -1 859 -1 873 883 -1 -1 -1],0.61875,-0.06752,8e-05,-0.0
1532402927624,3,[-1 -1 -1 -1 -18 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 523 -1 -1 -1 676 -1 -1 -1 837 -1 -1 -1],4.27681,-0.08338,0.00035,-0.0
1532402927624,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -31 9 75 141 207 261 338 414 495 567 641 706 792 -1 -1 -1],7.54732,-0.04577,-0.00088,0.0
1532402927628,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1607 -1 -1 -1 -1 -1 -1 -1 -1 1031 965 923 -1 -1 -1],-6.77323,-0.04838,0.00243,-2e-05
1532402927628,2,[633 -1 -1 -1 672 -1 -1 -1 -1 -1 -1 737 -1 -1 -1 -1 787 -1 -1 -1 -1 -1 841 -1 -1 -1 886 -1 -1 -1],0.98892,-0.07975,0.00044,-1e-05
1532402927628,3,[-1 -1 -1 -1 -1 -1 -11 -1 -1 -1 -1 -1 237 -1 -1 -1 410 -1 -1 -1 -1 612 -1 -1 -1 -1 829 -1 -1 -1],4.71693,-0.10136,0.00147,-2e-05
1532402927628,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -17 -1 115 -1 254 -1 397 -1 520 -1 676 773 -1 -1 -1],7.48991,-0.02606,-0.00017,-1e-05
1532402927632,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1584 1539 1492 1448 -1 -1 -1 -1 -1 -1 -1 1014 962 -1 -1 -1 -1],-4.78351,-0.1936,0.00729,-8e-05
1532402927632,2,[553 -1 -1 -1 602 -1 -1 -1 -1 -1 -1 691 -1 -1 -1 -1 -1 -1 780 -1 -1 -1 -1 841 -1 870 891 -1 -1 -1],1.30489,-0.07688,0.0001,-0.0
1532402927632,3,[-1 -1 -1 -1 -1 -1 -1 -12 33 -1 124 -1 -1 -1 -1 -1 -1 -1 481 -1 -1 -1 660 -1 -1 796 -1 -1 -1 -1],4.94021,-0.09526,0.00015,-0.0
1532402927632,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -28 49 115 198 279 350 415 489 552 631 713 784 -1 -1 -1],7.92306,-0.06292,-0.00077,1e-05
1532402927635,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1620 1580 -1 -1 -1 -1 1392 -1 -1 -1 1233 -1 -1 -1 -1 1043 1065 -1 -1 -1],-4.35754,-0.13624,0.00236,-3e-05
1532402927635,2,[444 -1 -1 -1 -1 -1 -1 -1 -1 603 -1 -1 -1 -1 -1 -1 715 -1 -1 -1 -1 798 -1 -1 -1 862 -1 -1 -1 -1],1.79334,-0.09419,0.00056,-1e-05
1532402927635,3,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -14 -1 -1 139 -1 -1 -1 -1 382 -1 -1 -1 579 -1 -1 720 -1 825 -1 -1 -1],5.53624,-0.10831,0.00099,-1e-05
1532402927635,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -44 17 101 192 285 356 436 512 587 666 742 821 -1 -1],9.08177,-0.0918,0.00042,-0.0
1532402927604,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 19 -1 -1 223 -1 -1 405 -1 520 -1 654 -1 762 803 -1 -1],7.12926,-0.08818,0.00044,-0.0
1532402927604,2,[-1 -1 173 -1 -1 -1 -1 -1 -1 -1 399 -1 -1 -1 -1 535 -1 -1 614 -1 -1 695 -1 752 -1 806 -1 842 -1 -1],2.99592,-0.06065,-8e-05,0.0
1532402927604,3,[-1 1029 -1 -1 -1 -1 -1 -1 -1 -1 975 -1 -1 -1 -1 942 -1 -1 926 -1 -1 914 -1 -1 901 -1 -1 -1 -1 -1],-0.83725,-0.02148,-0.00193,3e-05
1532402927604,4,[-1 -1 -1 -1 -1 -1 -1 -1 1585 -1 1498 -1 -1 1369 -1 1280 -1 1191 -1 1115 -1 1074 1113 -1 -1 -1 -1 -1 -1 -1],-3.75517,-0.29237,0.03854,-0.00131
